date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2013-09-25,17,M,Black or Black British,1,16,M,Knife,Solved,51.38452,-0.12364,Croydon
2013-10-04,1,F,Black or Black British,1,18,F,None,Solved,51.51942,-0.02838,Tower Hamlets
2013-10-05,69,F,Asian or Asian British,1,42,M,None,Solved,51.647,-0.22173,Barnet
2013-10-05,63,M,Asian or Asian British,1,66,M,Poison,Solved,51.59487,0.0543,Redbridge
2013-10-07,43,M,Asian or Asian British,1,76,M,Knife,Solved,51.53229,-0.11717,Islington
2013-10-14,45,M,Asian or Asian British,6,26,M,Vehicle,Solved,51.52141,0.09678,Barking and Dagenham
2013-10-16,49,M,White or White British,1,50,M,Knife,Solved,51.47096,-0.18705,Hammersmith and Fulham
2013-10-17,21,M,White or White British,1,30,M,Knife,Solved,51.46227,-0.16531,Wandsworth
2013-10-18,64,F,Any Other Ethnic Appearance,1,31,M,Other,Solved,51.56184,-0.24805,Brent
2013-10-28,6,M,White or White British,1,34,M,None,Solved,51.34878,-0.19596,Sutton
2013-10-29,24,F,White or White British,1,20,M,Knife,Solved,51.54846,0.08479,Redbridge
2013-11-03,33,M,Black or Black British,1,22,M,Knife,Solved,51.52702,-0.26186,Ealing
2013-11-07,50,M,White or White British,1,37,M,None,Solved,51.54877,-0.05619,Hackney
2013-11-12,20,F,White or White British,1,33,M,None,Solved,51.3506,-0.01958,Croydon
2013-11-15,32,M,White or White British,,,,Other,Unsolved,51.32012,-0.06255,Croydon
2013-11-20,73,F,White or White British,1,61,M,Ligature,Solved,51.46336,-0.15605,Wandsworth
2013-11-20,27,M,,1,58,M,Vehicle,Solved,51.54135,-0.09408,Islington
2013-11-29,35,F,Asian or Asian British,1,36,M,None,Solved,51.50013,-0.39075,Ealing
2013-11-29,34,M,White or White British,3,33,M,Knife,Solved,51.50347,-0.09152,Southwark
2013-11-30,43,F,White or White British,1,23,F,None,Solved,51.4661,-0.29337,Richmond upon Thames
2013-12-02,22,M,Black or Black British,2,19,M,Knife,Unsolved,51.5618,-0.08018,Hackney
2013-12-03,17,M,Black or Black British,3,18,M,Knife,Solved,51.61429,-0.12573,Enfield
2013-12-06,20,M,Black or Black British,,,,Gun,Unsolved,51.54894,-0.25985,Brent
2013-12-10,61,F,White or White British,1,33,M,None,Solved,51.44602,-0.21883,Wandsworth
